ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Baden-Württemberg,BW,4721,2560,1720,1877,326,192
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Bayern,BY,5219,1830,1457,1830,91,2423
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Berlin,BE,3839,2213,3340,517,105,3322
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Brandenburg,BB,107,75,60,47,NA,60
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Bremen,HB,592,174,276,133,NA,278
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Hamburg,HH,1071,626,507,471,NA,600
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Hessen,HE,4354,1242,1480,2425,287,1702
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Mecklenburg-Vorpommern,MV,4170,3488,100,1862,2,2209
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Niedersachsen,NI,835,501,79,370,141,552
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Nordrhein-Westfalen,NW,7136,518,NA,1788,NA,5348
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Rheinland-Pfalz,RP,1462,210,NA,715,NA,747
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Saarland,SL,862,647,658,51,NA,466
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Sachsen,SN,857,675,240,551,1,305
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Sachsen-Anhalt,ST,3985,2481,1592,1678,124,2292
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Schleswig-Holstein,SH,2495,1686,588,528,584,1136
2020-12-29T07:00:00Z,2020-12-30T11:09:36Z,Thüringen,TH,257,158,135,121,NA,135
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Baden-Württemberg,BW,8242,3509,3243,2994,517,933
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Bayern,BY,12935,7716,3010,5573,214,5314
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Berlin,BE,6296,2457,4918,1396,105,4899
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Brandenburg,BB,1553,1442,110,1430,13,123
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Bremen,HB,1059,467,528,201,3,579
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Hamburg,HH,1499,428,704,661,0,839
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Hessen,HE,9448,5094,3041,5092,500,3825
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Mecklenburg-Vorpommern,MV,7338,3711,87,4011,4,3231
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Niedersachsen,NI,1527,692,83,824,145,794
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Nordrhein-Westfalen,NW,11385,3857,0,2771,0,8622
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Rheinland-Pfalz,RP,2284,822,0,1011,0,1273
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Saarland,SL,1518,656,1177,101,0,711
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Sachsen,SN,1487,812,150,1294,1,192
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Sachsen-Anhalt,ST,7287,3302,2620,3209,262,3942
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Schleswig-Holstein,SH,3579,1893,1016,1858,871,1698
2020-12-30T10:00:00Z,2020-12-30T19:07:41Z,Thüringen,TH,672,415,226,252,0,327
